sample_index,sample_id,prompt,instruction_id_list,kwargs,baseline_response_character_length,baseline_strict_prompt_passed,baseline_strict_instruction_score,baseline_loose_prompt_passed,baseline_loose_instruction_score,baseline_provider_status,baseline_provider_error,baseline_checker_error,baseline_mhc_response_character_length,baseline_mhc_strict_prompt_passed,baseline_mhc_strict_instruction_score,baseline_mhc_loose_prompt_passed,baseline_mhc_loose_instruction_score,baseline_mhc_provider_status,baseline_mhc_provider_error,baseline_mhc_checker_error,verbose_helpfulness_response_character_length,verbose_helpfulness_strict_prompt_passed,verbose_helpfulness_strict_instruction_score,verbose_helpfulness_loose_prompt_passed,verbose_helpfulness_loose_instruction_score,verbose_helpfulness_provider_status,verbose_helpfulness_provider_error,verbose_helpfulness_checker_error,mhc_concise_response_character_length,mhc_concise_strict_prompt_passed,mhc_concise_strict_instruction_score,mhc_concise_loose_prompt_passed,mhc_concise_loose_instruction_score,mhc_concise_provider_status,mhc_concise_provider_error,mhc_concise_checker_error,ifbench_gepa_prompt_transfer_response_character_length,ifbench_gepa_prompt_transfer_strict_prompt_passed,ifbench_gepa_prompt_transfer_strict_instruction_score,ifbench_gepa_prompt_transfer_loose_prompt_passed,ifbench_gepa_prompt_transfer_loose_instruction_score,ifbench_gepa_prompt_transfer_provider_status,ifbench_gepa_prompt_transfer_provider_error,ifbench_gepa_prompt_transfer_checker_error,gepa_p2_transfer_response_character_length,gepa_p2_transfer_strict_prompt_passed,gepa_p2_transfer_strict_instruction_score,gepa_p2_transfer_loose_prompt_passed,gepa_p2_transfer_loose_instruction_score,gepa_p2_transfer_provider_status,gepa_p2_transfer_provider_error,gepa_p2_transfer_checker_error
10,1072,Write a blog post with 400 or more words about the benefits of sleeping in a hammock.,"[""length_constraints:number_words""]","[{""relation"": ""at least"", ""num_words"": 400}]",2846,True,1.0,True,1.0,ok,,,2056,False,0.0,False,0.0,ok,,,2301,False,0.0,False,0.0,ok,,,2089,False,0.0,False,0.0,ok,,,2334,False,0.0,False,0.0,ok,,,2554,True,1.0,True,1.0,ok,,
11,1075,Can you help me make an advertisement for a new product? It's a diaper that's designed to be more comfortable for babies and I want the entire output in JSON format.,"[""detectable_format:json_format""]",[{}],1581,False,0.0,True,1.0,ok,,,885,True,1.0,True,1.0,ok,,,1276,True,1.0,True,1.0,ok,,,714,True,1.0,True,1.0,ok,,,1061,True,1.0,True,1.0,ok,,,974,True,1.0,True,1.0,ok,,
12,1082,Write a story of exactly 2 paragraphs about a man who wakes up one day and realizes that he's inside a video game. Separate the paragraphs with the markdown divider: ***,"[""length_constraints:number_paragraphs""]","[{""num_paragraphs"": 2}]",1368,True,1.0,True,1.0,ok,,,904,True,1.0,True,1.0,ok,,,1263,True,1.0,True,1.0,ok,,,934,True,1.0,True,1.0,ok,,,1054,True,1.0,True,1.0,ok,,,1205,True,1.0,True,1.0,ok,,
13,1087,"Write a detailed review of the movie ""The Social Network"". Your entire response should be in English and all lower case (no capital letters whatsoever).","[""change_case:english_lowercase""]",[{}],2721,True,1.0,True,1.0,ok,,,1264,True,1.0,True,1.0,ok,,,2285,True,1.0,True,1.0,ok,,,1019,True,1.0,True,1.0,ok,,,1372,True,1.0,True,1.0,ok,,,1765,True,1.0,True,1.0,ok,,
14,1092,Write a short blog post about a trip to Japan using less than 300 words.,"[""length_constraints:number_words""]","[{""relation"": ""less than"", ""num_words"": 300}]",1769,False,0.0,True,1.0,ok,,,1333,True,1.0,True,1.0,ok,,,1552,True,1.0,True,1.0,ok,,,1237,True,1.0,True,1.0,ok,,,1479,True,1.0,True,1.0,ok,,,1363,True,1.0,True,1.0,ok,,
15,1094,"Please provide the names of 5 famous moms in JSON format. Please, use any interesting or weird tone. Your entire output should just contain a JSON block, nothing else.","[""detectable_format:json_format""]",[{}],684,True,1.0,True,1.0,ok,,,647,True,1.0,True,1.0,ok,,,592,True,1.0,True,1.0,ok,,,665,True,1.0,True,1.0,ok,,,356,True,1.0,True,1.0,ok,,,383,True,1.0,True,1.0,ok,,
16,1098,What is a name that people call God? Please give exactly two different responses. Separate the responses with 6 asterisk symbols: ******.,"[""combination:two_responses""]",[{}],26,True,1.0,True,1.0,ok,,,26,True,1.0,True,1.0,ok,,,30,True,1.0,True,1.0,ok,,,26,True,1.0,True,1.0,ok,,,30,True,1.0,True,1.0,ok,,,26,True,1.0,True,1.0,ok,,
17,1107,Write two jokes about rockets. Do not contain commas in your response. Separate the two jokes with 6 asterisk symbols: ******.,"[""punctuation:no_comma"", ""combination:two_responses""]","[{}, {}]",192,True,1.0,True,1.0,ok,,,267,True,1.0,True,1.0,ok,,,192,True,1.0,True,1.0,ok,,,348,True,1.0,True,1.0,ok,,,233,True,1.0,True,1.0,ok,,,166,True,1.0,True,1.0,ok,,
18,1108,"Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.","[""language:response_language""]","[{""language"": ""kn""}]",36,True,1.0,True,1.0,ok,,,37,True,1.0,True,1.0,ok,,,77,True,1.0,True,1.0,ok,,,37,True,1.0,True,1.0,ok,,,37,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,
19,1122,"make a tweet for playboy's twitter account without using capital letters. Include at least 4 hashtags, starting with '#'","[""change_case:english_lowercase"", ""keywords:letter_frequency""]","[{}, {""let_relation"": ""at least"", ""letter"": ""#"", ""let_frequency"": 4}]",163,True,1.0,True,1.0,ok,,,176,True,1.0,True,1.0,ok,,,368,True,1.0,True,1.0,ok,,,166,True,1.0,True,1.0,ok,,,181,True,1.0,True,1.0,ok,,,154,True,1.0,True,1.0,ok,,
